Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
4946651,03/29/2017,1535,14,Pacific,1494,24,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,500    WORLD WAY                    WY,
4946684,03/29/2017,1510,01,Central,0153,47,M,B,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,5TH                          ST,BROADWAY
4947325,03/30/2017,0605,21,Topanga,2128,21,M,H,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,20300    SATICOY                      ST,
4947819,03/30/2017,1800,09,Van Nuys,0901,28,M,H,16,Narcotic Drug Laws,M,11357HS,POSSESSION CANNABIS,7300    SEPULVEDA                    BL,
4947845,03/30/2017,1155,10,West Valley,1001,48,M,W,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,8100    VANALDEN                     AV,
4948805,03/31/2017,1655,14,Pacific,1412,41,M,W,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,OCEAN FRONT,BREEZE                       AV
4948831,03/31/2017,1655,14,Pacific,1412,35,F,B,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,BREEZE                       AV,OCEAN FRONT
4948981,03/31/2017,1955,21,Topanga,2189,32,M,W,16,Narcotic Drug Laws,M,11360(A)2HS,SALE/OFFER TO SELL/TRANSPORT MARIJUANA,VENTURA,WINNETKA
4948984,03/31/2017,1955,21,Topanga,2189,22,M,W,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,VENTURA                      BL,WINNETKA                     ST
4948987,03/31/2017,1955,21,Topanga,2189,40,M,W,16,Narcotic Drug Laws,M,11360(A)2HS,SALE/OFFER TO SELL/TRANSPORT MARIJUANA,VENTURA                      BL,WINNETKA
4948992,03/31/2017,1955,21,Topanga,2189,46,M,W,16,Narcotic Drug Laws,M,11360(A)2HS,SALE/OFFER TO SELL/TRANSPORT MARIJUANA,VENTURA,WINNETKA
4949469,04/01/2017,1940,06,Hollywood,0636,33,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,1700    WHITLEY                      AV,
4951124,04/03/2017,2030,18,Southeast,1802,25,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,BROADWAY,91ST                         ST
4953301,04/05/2017,2345,06,Hollywood,0637,20,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,6200    HOLLYWOOD                    BL,
4954025,04/06/2017,1715,20,Olympic,2039,28,M,H,16,Narcotic Drug Laws,M,11360(A)2HS,SALE/OFFER TO SELL/TRANSPORT MARIJUANA,8TH                          ST,HOOVER                       ST
4954046,04/06/2017,1715,20,Olympic,2039,33,M,H,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,2700 W  8TH                          ST,
4954079,04/06/2017,1600,20,Olympic,2039,19,F,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,2700 W  8TH                          ST,
4955523,04/08/2017,1155,14,Pacific,1494,27,M,W,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,6100 W  CENTURY                      BL,
4957466,04/10/2017,1452,04,Hollenbeck,0438,29,M,H,16,Narcotic Drug Laws,M,11359(B)HS,POSSESS MARIJUANA FOR SALE,LOMBARDY,ALHAMBRA
4957504,04/10/2017,1715,21,Topanga,2146,40,M,W,16,Narcotic Drug Laws,M,11360(A)2HS,SALE/OFFER TO SELL/TRANSPORT MARIJUANA,SHERMAN,MILWOOD
